sigma_sub LOS_normalization log_m_host log_black_hole_mass source_size_pc gamma gamma_ext a4 summary_statistic 
0.091927 1.168415 13.60429 5.82809 51.545485 2.157463 0.247428 -0.011198 0.022612 
0.03872 1.110113 12.815734 5.700795 37.966628 2.01627 0.241691 0.00773 0.048742 
0.010824 0.821396 13.361709 5.392857 50.951657 2.055067 0.344788 -0.017409 0.0443 
0.057575 1.00052 13.135172 5.508146 33.897457 2.075019 0.192605 0.019857 0.045714 
0.058858 0.948704 13.399785 5.822999 26.688257 2.07903 0.290147 -0.005197 0.025382 
0.010135 1.015555 13.457289 5.424944 27.251346 2.019786 0.136461 -0.01115 0.022429 
0.070052 1.120064 13.852342 5.461827 37.509581 2.030543 0.189214 0.004427 0.011611 
0.085238 1.028981 13.637356 5.906753 58.129191 2.147966 0.195413 0.013405 0.041937 
0.03674 1.189002 13.025649 5.764593 40.053057 2.003911 0.153873 0.025836 0.038873 
0.067712 1.10189 12.96502 5.678092 57.889346 1.93513 0.203533 -0.00569 0.044148 
0.008553 1.131065 13.504143 5.458241 32.577053 2.076769 0.287254 -0.003678 0.045407 
0.092876 0.893836 13.288474 5.83335 59.682061 2.150747 0.221111 -0.018654 0.03268 
0.08031 0.980351 13.274806 5.470725 54.655808 2.190768 0.252633 -0.012772 0.04539 
0.047321 1.104361 13.542872 5.688025 40.177563 1.912648 0.203679 -0.004634 0.040357 
0.011439 1.195695 13.210477 5.791493 48.235015 2.016831 0.147522 -0.005356 0.046651 
0.067993 0.903954 13.406713 5.187278 38.884933 1.978113 0.225801 0.016085 0.02955 
0.037267 1.058337 13.26172 5.694302 45.786108 1.992427 0.323116 -0.010996 0.005078 
0.099051 0.881113 13.225616 5.718833 38.696574 1.923194 0.146758 -0.004614 0.014872 
0.090824 0.934449 13.21806 5.713611 40.19251 2.091331 0.194541 -0.000148 0.034322 
0.027187 0.847134 13.248254 5.615889 38.786145 2.046542 0.147539 -0.000155 0.016305 
0.07808 1.15143 13.206991 5.792886 57.150896 2.087407 0.145113 0.000673 0.039835 
0.086791 0.916878 13.14677 5.683181 59.760287 2.111319 0.234183 -0.00095 0.044485 
0.006633 1.096119 13.003023 5.945308 33.868448 2.127228 0.340994 0.007628 0.020345 
0.020288 0.838041 13.505169 5.955299 43.914282 1.99131 0.193798 0.000339 0.029226 
0.026306 0.991954 14.110358 5.890583 51.51214 1.957929 0.16027 0.005477 0.030497 
0.049985 1.121682 12.61719 5.713659 35.078146 1.994689 0.176843 -0.004008 0.02529 
0.046601 1.000427 13.218121 5.392581 47.834371 1.97066 0.26851 -0.014355 0.024824 
0.047758 0.845774 13.352741 5.664725 40.262137 1.947754 0.160192 0.014278 0.048124 
0.050355 0.846822 13.360978 5.675658 31.993677 1.927662 0.154746 -4.2e-05 0.0451 
0.075491 1.051313 13.671981 5.790455 39.844936 2.180503 0.25618 0.002268 0.031157 
0.007627 1.067802 13.50531 5.75296 55.313919 1.945027 0.18203 -0.002605 0.049567 
0.088325 0.808309 13.468731 5.619665 32.347969 2.096464 0.316028 0.001518 0.041861 
0.042934 1.048287 13.117265 5.480872 34.954322 2.115632 0.256614 0.001305 0.013805 
0.099178 1.036625 13.199286 5.807223 26.198949 2.071388 0.137866 -0.005585 0.036996 
0.01415 0.964192 12.542603 5.67613 56.182295 2.092993 0.329643 -0.009276 0.042404 
0.060216 1.126203 13.352475 5.700911 41.628141 2.041399 0.173511 -0.013653 0.049546 
0.001967 0.936598 13.403414 5.313207 57.47869 2.071864 0.310676 -0.024234 0.049227 
0.091047 1.115021 12.962835 5.487533 53.034741 2.055122 0.266984 -0.00148 0.046795 
0.056152 0.860497 13.35779 5.763468 34.982356 2.095631 0.252414 0.005902 0.009971 
